Image_Url, Item_Name, Username, Rating_Score (Max Score is 5), Review_Location, Review_Date 
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Cameron Lamothe,4.0 ,the United States ,25 February 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Amazon Customer,1.0 ,the United States ,4 January 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Drworry,4.0 ,the United States ,15 July 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,guzz,3.0 ,the United States ,18 December 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Joseph,1.0 ,the United States ,9 March 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Steve,5.0 ,the United States ,26 May 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,shthd62,2.0 ,the United States ,19 July 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Mark Watkins,5.0 ,the United States ,14 January 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Jacob Hillebrand,1.0 ,the United States ,7 October 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Tammy Lynn,1.0 ,the United States ,6 February 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Joseph,5.0 ,the United States ,3 May 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Ronald Sewell,1.0 ,the United States ,15 November 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Mj,2.0 ,the United States ,4 December 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Kelly L Sieczkowski,2.0 ,the United States ,18 August 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Josh Goll,5.0 ,the United States ,4 May 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,HiroNotHero,5.0 ,the United States ,9 January 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,J. Weaver,1.0 ,the United States ,19 August 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,TeeJayN,5.0 ,the United States ,27 September 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,P.,4.0 ,the United States ,4 January 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Lex Marie,5.0 ,the United States ,31 May 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,jim macinnes,1.0 ,the United States ,1 December 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Kindle Customer,1.0 ,the United States ,24 July 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Coasterguy11,5.0 ,the United States ,15 March 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Angela Darling,4.0 ,the United States ,30 December 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,John Q. Public,5.0 ,the United States ,27 February 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Yabby,5.0 ,the United States ,14 December 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Debora Heath,2.0 ,the United States ,13 June 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,M Evans,4.0 ,the United States ,5 January 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,John Francis,3.0 ,the United States ,20 December 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Mmo6,3.0 ,the United States ,22 July 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,S. Laker,4.0 ,the United States ,2 March 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Eric Martin,1.0 ,the United States ,18 July 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,WALDEN POND,5.0 ,the United States ,9 September 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Ray,5.0 ,the United States ,23 March 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Readalot,1.0 ,the United States ,27 September 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,gb802,5.0 ,the United States ,9 April 2022
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Leila,1.0 ,the United States ,15 July 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,Carol,5.0 ,the United States ,21 May 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,leevank,1.0 ,the United States ,27 October 2021
https://m.media-amazon.com/images/I/41t1HM8UN8L._AC_US60_SCLZZZZZZZ__.jpg,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,BlueLightningJeep,3.0 ,the United States ,20 March 2022
