Image_Url, Item_Name, Item_Price, Average_Rating, Number_Of_Ratings
https://m.media-amazon.com/images/I/61A5vqpA4OL._AC_UL320_.jpg,Data Science Analyst Guru Notebook: Customized 100 Page Lined Journal Gift For A Busy Data Science Analyst,S$14.45,,
https://m.media-amazon.com/images/I/61WqLpyZCxL._AC_UL320_.jpg,Data Science Developer Guru Notebook: Customized 100 Page Lined Journal Gift For A Busy Data Science Developer,S$14.45,,
https://m.media-amazon.com/images/I/61lEJM0l+7L._AC_UL320_.jpg,Data Science Manager Guru Notebook: Customized 100 Page Lined Journal Gift For A Busy Data Science Manager,S$14.45,,
https://m.media-amazon.com/images/I/6172C4R8hlL._AC_UL320_.jpg,Data Science Consultant Guru Notebook: Customized 100 Page Lined Journal Gift For A Busy Data Science Consultant,S$14.45,,
https://m.media-amazon.com/images/I/61vP5wRIGfL._AC_UL320_.jpg,Data Science Engineer Guru Notebook: Customized 100 Page Lined Journal Gift For A Busy Data Science Engineer,S$14.46,,
https://m.media-amazon.com/images/I/61VelM-kDsL._AC_UL320_.jpg,Data Science Director Guru Notebook: Customized 100 Page Lined Journal Gift For A Busy Data Science Director,S$14.45,,
https://m.media-amazon.com/images/I/61l1P6Y6ggL._AC_UL320_.jpg,Data Science Expert Guru Notebook: Customized 100 Page Lined Journal Gift For A Busy Data Science Expert,S$14.45,,
https://m.media-amazon.com/images/I/61gOlLy4BXS._AC_UL320_.jpg,Statistics for the Trading Floor: Data Science for Investing,S$40.07,4.0 ,41
https://m.media-amazon.com/images/I/61JqnlxLEoL._AC_UL320_.jpg,Yes I Really Do Need All These Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/51Zx-tapEhL._AC_UL320_.jpg,Wait I See Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.41,,
https://m.media-amazon.com/images/I/61LspJD9QjL._AC_UL320_.jpg,What Can I Say I Like Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/618k86xdWpL._AC_UL320_.jpg,There Are Two Types Of People Those Who Can Extrapolate-From Incomplete Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/614P0NGToSL._AC_UL320_.jpg,There Are Two Types Of People Those Who Can Extrapolate-From Incomplete Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.41,,
https://m.media-amazon.com/images/I/61wgCKLczyL._AC_UL320_.jpg,Peace Love Lots Lots Of Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/51RLrumiszL._AC_UL320_.jpg,Life Would Be Boring Without Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/61pL9P1x0YL._AC_UL320_.jpg,Its Always Time To Think About Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/61ZMuTBiyHL._AC_UL320_.jpg,Introverted But WillingTo Discuss Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.44,,
https://m.media-amazon.com/images/I/618k86xdWpL._AC_UL320_.jpg,There Are Two Types Of People Those Who Can Extrapolate-From Incomplete Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/614P0NGToSL._AC_UL320_.jpg,There Are Two Types Of People Those Who Can Extrapolate-From Incomplete Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.41,,
https://m.media-amazon.com/images/I/61wgCKLczyL._AC_UL320_.jpg,Peace Love Lots Lots Of Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/51RLrumiszL._AC_UL320_.jpg,Life Would Be Boring Without Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/61pL9P1x0YL._AC_UL320_.jpg,Its Always Time To Think About Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/61ZMuTBiyHL._AC_UL320_.jpg,Introverted But WillingTo Discuss Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.44,,
https://m.media-amazon.com/images/I/51SYm2SZkGL._AC_UL320_.jpg,Id rather be With My Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$26.81,,
https://m.media-amazon.com/images/I/616FZQFlOnL._AC_UL320_.jpg,Excuse Me While I Think About Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.37,,
https://m.media-amazon.com/images/I/81r-kenQbxL._AC_UL320_.jpg,The Big R-Book: From Data Science to Learning Machines and Big Data,S$169.99,4.0 ,3
https://m.media-amazon.com/images/I/61I3hvX-qIL._AC_UL320_.jpg,Python Data Analytics: 3 Books in 1: The Beginner's Real-World Crash Course+A Hands-on Guide Beyond The Basics+The Expert's Guide to Real-World Solutions,S$45.22,,
https://m.media-amazon.com/images/I/81ppbsqIVCL._AC_UL320_.jpg,Data Science Para Leigos,S$86.20,4.5 ,27
https://m.media-amazon.com/images/I/61qn0sroQFL._AC_UL320_.jpg,Data Science Para Negócios. O que Você Precisa Saber Sobre Mineração de Dados e Pensamento Analítico de Dados,S$77.31,4.7 ,449
https://m.media-amazon.com/images/I/91dpwbV-y-L._AC_UL320_.jpg,Student Laboratory Workbook for Statistics: The Art and Science of Learning from Data,S$70.62,4.0 ,26
https://m.media-amazon.com/images/I/51hsRhZ1+7L._AC_UL320_.jpg,Carson-Dellosa Forensic Investigations Resource Book,S$19.15,4.4 ,78
https://m.media-amazon.com/images/I/61qyDromJvL._AC_UL320_.jpg,Computational Science and Its Applications -- ICCSA 2012: 12th International Conference| Salvador de Bahia| Brazil| June 18-21| 2012| Proceedings| Part IV: 7336,S$12.02,,
