Image_Url, Item_Name, Item_Price, Average_Rating (Max Score is 5), Number_Of_Ratings 
https://m.media-amazon.com/images/I/61hcItMO5CL._AC_UL320_.jpg,Wireless Switch Pro Controller for Nintendo Switch/Lite/OLED| Wireless Pro Controller with Headphone Jack| Support Wake-Up Turbo Dual Vibration 6-Axis| Sakura Pink,S$49.99,4.6 ,1'138
https://m.media-amazon.com/images/I/714Bku2+68L._AC_UL320_.jpg,Disney Frozen 50 Pc Hair Accessories Bundle ~ Frozen Hair Kit with Frozen Hair Brush| Hair Clips| Mirror| and More Plus Frozen Stickers (Frozen Accessories),S$28.95,5.0 ,1
https://m.media-amazon.com/images/I/61lmWjezACL._AC_UL320_.jpg,[Updated Version] SUNTA Leather Face Cover Replacement for Oculus Quest 2| VR Facial Interface & Comfortable PU Leather Foam Face Pad & Anti-Leakage Nose Pad & Lens Protect Cover Accessories Set,S$32.77,3.9 ,224
https://m.media-amazon.com/images/I/71TkzO7ANhL._AC_UL320_.jpg,Pearls Hair Clips|28 Pcs Pearls Hair Barrettes Acrylic Resin Sweet Handmade bobby pins Hairpin Headwear Hair Accessories Headwear for Women and Girls,S$18.66,4.6 ,1'159
https://m.media-amazon.com/images/I/81Sq+0tYDVL._AC_UL320_.jpg,Accessory Innovations Backpack School Bag for Kids,S$38.66,4.7 ,113
https://m.media-amazon.com/images/I/71CeaeiTEeL._AC_UL320_.jpg,InterDesign Clarity Cosmetic Palette Organizer with Drawer for Vanity Or Cabinet to Hold Makeup Beauty Products Hair Accessories – 3 Compartments| Clear| Navy| Palette,,,
https://m.media-amazon.com/images/I/51IClRZGLbL._AC_UL320_.jpg,HAMMOCK ACCESSORY ORG LARGE BLACK,S$33.29,4.6 ,300
https://m.media-amazon.com/images/I/81HW+ltTvNL._AC_UL320_.jpg,Townley Girl Disney Frozen 2 Hair Accessory Kit for Girls| Ages 3+ (20 pieces),,,
https://m.media-amazon.com/images/I/81OBRe3dD4L._AC_UL320_.jpg,Learning Resources Create-a-Space Storage Mini Center - Blue| Classroom Craft Keeper| Maker Space| Small Space Storage| Teacher Organizer| Home School Accessories| 4 Piece Set,S$21.75,4.2 ,20
https://m.media-amazon.com/images/I/711-h-Kzt3L._AC_UL320_.jpg,QTMY Rhinestone Crystal Wide Headbands Knot Turban Fashion Vintage Hairband Elastic Hair Hoops Hair Accessories for Women Girls|Purple (White),S$32.20,4.6 ,364
https://m.media-amazon.com/images/I/91OOfF2OmnL._AC_UL320_.jpg,Set of 2pcs Gift Wrapping Paper Storage Box 40" Inches Long & Holiday Accessories Storeage & Waterproof Wraping Storage Bag - Slim Underbed Wrapping Paper Storage Container,S$61.36,4.5 ,513
https://m.media-amazon.com/images/I/61TcvAfx+OL._AC_UL320_.jpg,Aakarshana Women's Hair Accessories Indian Bollywood Style Wedding And Festive Hair Flowers Medium Red,,,
https://m.media-amazon.com/images/I/61OrRwRyxCL._AC_UL320_.jpg,QualGear PRB-717-Wht Ceiling Mount Projector Accessory,S$54.53,4.5 ,2'255
https://m.media-amazon.com/images/I/81eWIAmGH7L._AC_UL320_.jpg,Taylor Seville Originals 16046 Small Magic Clip Sewing and Quilting Clips 12-pc - Quilting Supplies and Notions - Sewing Accessories and Supplies Blue/Green,S$23.55,4.4 ,258
https://m.media-amazon.com/images/I/71ZhwY4Y9yL._AC_UL320_.jpg,Melissa & Doug 9304 Play Kitchen Accessories Set| 22 Pieces,S$50.30,4.8 ,2'478
https://m.media-amazon.com/images/I/71BFkqBZ9+L._AC_UL320_.jpg,Garmin HRM Dual Running Accessory,S$109.00,4.4 ,179
https://m.media-amazon.com/images/I/81Lmtt88TjL._AC_UL320_.jpg,BLACK+DECKER Auto Vacuum Accessory Set for BDH1200PVAV (PVAVKIT),S$42.86,4.4 ,17'034
https://m.media-amazon.com/images/I/71rHSZcpvoL._AC_UL320_.jpg,Jabra 14207-40 Evolve 75 Charging Stand Only - Provides Easy and Convenient Charging and Storage| Authentic Office Headset Accessory Black,S$51.78,4.5 ,151
